,product_name,price
0,Мороженое Вологодский пломбир Пломбир с кусочками ягод Брусника и Клюква в вафельном стаканчике 100г,"75,9 /шт"
1,Мороженое Вологодский пломбир Пломбир с кусочками ягод Черная смородина и Клюква в сахарном рожке 120г,"114,9 /шт"
2,Мороженое Вологодский пломбир в вафельном стаканчике 15% 100г,"69,9 /шт"
3,Мороженое Эkzo Черника-Ежевика 2.5% 520г,"357,9 /шт"
4,Мороженое Инмарко Пончик со вкусом банана клубники и лимон-лайма в печенье 52г,"55,9 /шт"
5,Мороженое Золотой Стандарт Сэндвич Пломбир 12% 69г,"53,9 /шт"
6,Мороженое Золотой Стандарт пломбир с клубникой 400г,"77,9 /шт"
7,Мороженое Золотой стандарт Пломбир клубничный в вафельном рожоке 12% 100г,"348,9 /шт"
8,Мороженое Золотой Стандарт Пломбир с черникой 475г,"77,9 /шт"
9,Мороженое Золотой Стандарт Пломбир Классический в вафельном рожке 12% 100г,"73,9 /шт"
10,Мороженое Cornetto Сахарный рожок с чаем матча латте и соусом из манго 73г,"458,9 /шт"
11,Десерт Carte Dor фруктовый с кусочками манго 575г,"69,9 /шт"
12,Мороженое Cornetto Enigma Единорог Клубника Бабл гам черная смородина 73г,"158,9 /шт"
13,Мороженое Agama Viva Джелато Йогурт-Вишня 8% 80г,"230,9 /шт"
14,Мороженое Agama Viva Джелато  сливочное 4 ореха 8% 80г,"198,9 /шт"
15,Мороженое Agama Viva Джелато сливочное Банан-страчателла 10% 80г,"85,9 /шт"
16,Мороженое Maxibon Страчателла 6% 93г,2 576 /шт
17,Мороженое Movenpick Blueberry Cheesecake пломбир с черникой  творожным сыром и печеньем 12.5% 2.4л,2 159 /шт
18,Мороженое Movenpick ванильное 14% 2.4л,"607,9 /шт"
19,Мороженое Movenpick пломбир ванильное 252г,2 576 /шт
20,Мороженое Movenpick пломбир с карамельным соусом и кусочками печенья 12.7% 2.4л,2 576 /шт
21,Мороженое Movenpick пломбир с сыром маскарпоне и кусочками печенья тирамису 14% 1.4кг,2 346 /шт
22,Мороженое Movenpick пломбир с манговым наполнителем и  кусочками манго 12.7% 2.4л,"96,9 /шт"
23,Мороженое Oreo с печеньем 8% 76г,"607,9 /шт"
24,Мороженое Movenpick пломбир с сыром маскарпоне и кусочками печенья тирамису 277г,2 576 /шт
25,Мороженое Movenpick пломбир с фисташками и  фисташковым соусом 12% 2.4л,"607,9 /шт"
26,Мороженое Movenpick пломбир с фисташками и фисташковым соусом 287г,"607,9 /шт"
27,Мороженое Movenpick сливочное двухслойное кокосовое и шоколадное 263г,"102,9 /шт"
28,Мороженое Айскейк Москва Маршмеллоу с шоколадным печеньем 85г,"606,9 /шт"
0,Мороженое Настоящий пломбир Пломбир с ароматом фисташки 15% 450г,449 /шт
1,Мороженое Чистая Линия Московская Лакомка Шоколадная 80г,"79,9 /шт"
2,Сорбет Agama Viva Smoothe Клубника 80г,"230,9 /шт"
